album,artistPrimary,artists,id,songLength,title,year,acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,genre
No Way Out,Diddy,"Diddy, Lil' Kim, The Notorious B.I.G., The Lox",3GMR3hyv8BccozoebVMve3,278200,"It's All About The Benjamins (feat. The Notorious B.I.G., Lil' Kim & The Lox) - Remix",1997,0.0405,https://api.spotify.com/v1/audio-analysis/3GMR3hyv8BccozoebVMve3,0.856,278200,0.696,8.75e-06,6,0.0901,-3.51,1,0.226,89.738,4,https://api.spotify.com/v1/tracks/3GMR3hyv8BccozoebVMve3,audio_features,spotify:track:3GMR3hyv8BccozoebVMve3,0.718,Boom Bap
Ready To Die The Remaster,The Notorious B.I.G.,The Notorious B.I.G.,5ByAIlEEnxYdvpnezg7HTX,302693,Juicy,1994,0.472,https://api.spotify.com/v1/audio-analysis/5ByAIlEEnxYdvpnezg7HTX,0.889,302693,0.816,0.0,9,0.204,-4.67,1,0.247,96.056,4,https://api.spotify.com/v1/tracks/5ByAIlEEnxYdvpnezg7HTX,audio_features,spotify:track:5ByAIlEEnxYdvpnezg7HTX,0.777,Boom Bap
Illmatic XX,Nas,Nas,5zwz05jkQVT68CjUpPwFZe,293973,N.Y. State of Mind,1994,0.0394,https://api.spotify.com/v1/audio-analysis/5zwz05jkQVT68CjUpPwFZe,0.665,293973,0.91,0.0,6,0.227,-4.682,0,0.223,84.099,4,https://api.spotify.com/v1/tracks/5zwz05jkQVT68CjUpPwFZe,audio_features,spotify:track:5zwz05jkQVT68CjUpPwFZe,0.887,Boom Bap
Here Come the Lords,Lords Of The Underground,Lords Of The Underground,34MRi5GRWHFUa731JBxFEl,247400,Chief Rocka,1993,0.174,https://api.spotify.com/v1/audio-analysis/34MRi5GRWHFUa731JBxFEl,0.89,247400,0.716,0.000589,1,0.0657,-9.673,1,0.296,99.988,4,https://api.spotify.com/v1/tracks/34MRi5GRWHFUa731JBxFEl,audio_features,spotify:track:34MRi5GRWHFUa731JBxFEl,0.656,Boom Bap
Mecca And The Soul Brother,Pete Rock & C.L. Smooth,Pete Rock & C.L. Smooth,2Mb3zpobD0CvJGWv6NpsPy,286693,They Reminisce Over You,1992,0.141,https://api.spotify.com/v1/audio-analysis/2Mb3zpobD0CvJGWv6NpsPy,0.761,286693,0.683,0.0,2,0.342,-10.889,1,0.164,101.787,4,https://api.spotify.com/v1/tracks/2Mb3zpobD0CvJGWv6NpsPy,audio_features,spotify:track:2Mb3zpobD0CvJGWv6NpsPy,0.671,Boom Bap
Hard To Earn,Gang Starr,Gang Starr,3lGBvPUgO7MJltUnBlOpe9,221026,Mass Appeal,1994,0.0208,https://api.spotify.com/v1/audio-analysis/3lGBvPUgO7MJltUnBlOpe9,0.808,221027,0.726,0.276,10,0.129,-8.435,0,0.252,96.12,4,https://api.spotify.com/v1/tracks/3lGBvPUgO7MJltUnBlOpe9,audio_features,spotify:track:3lGBvPUgO7MJltUnBlOpe9,0.616,Boom Bap
Dah Shinin',Smif-N-Wessun,Smif-N-Wessun,3enjxX3aOAsFyaKeH1O9jO,259320,Sound Bwoy Bureill,1995,0.138,https://api.spotify.com/v1/audio-analysis/3enjxX3aOAsFyaKeH1O9jO,0.708,259453,0.305,3.08e-06,9,0.139,-14.003,1,0.817,174.154,4,https://api.spotify.com/v1/tracks/3enjxX3aOAsFyaKeH1O9jO,audio_features,spotify:track:3enjxX3aOAsFyaKeH1O9jO,0.691,Boom Bap
The Best Of Organized Konfusion,Organized Konfusion,Organized Konfusion,4Yt9UUpu7qgOUlwf7NUJ1I,238040,Stress,2005,0.157,https://api.spotify.com/v1/audio-analysis/4Yt9UUpu7qgOUlwf7NUJ1I,0.471,238040,0.932,0.0,11,0.113,-7.448,1,0.822,178.227,4,https://api.spotify.com/v1/tracks/4Yt9UUpu7qgOUlwf7NUJ1I,audio_features,spotify:track:4Yt9UUpu7qgOUlwf7NUJ1I,0.316,Boom Bap
Whut? The Album,Redman,Redman,67mtN6BlsJR0LVyzvNZnGt,202066,Tonight's Da Night,1992,0.233,https://api.spotify.com/v1/audio-analysis/67mtN6BlsJR0LVyzvNZnGt,0.683,202067,0.674,2.18e-05,10,0.266,-11.25,0,0.407,89.95,4,https://api.spotify.com/v1/tracks/67mtN6BlsJR0LVyzvNZnGt,audio_features,spotify:track:67mtN6BlsJR0LVyzvNZnGt,0.861,Boom Bap
The Infamous,Mobb Deep,Mobb Deep,7N1Vjtzr1lmmCW9iasQ8YO,224533,Survival of the Fittest,1995,0.125,https://api.spotify.com/v1/audio-analysis/7N1Vjtzr1lmmCW9iasQ8YO,0.813,224533,0.703,1.26e-06,11,0.237,-5.077,0,0.268,94.828,4,https://api.spotify.com/v1/tracks/7N1Vjtzr1lmmCW9iasQ8YO,audio_features,spotify:track:7N1Vjtzr1lmmCW9iasQ8YO,0.241,Boom Bap
Enter The Wu-Tang (36 Chambers) [Expanded Edition],Wu-Tang Clan,Wu-Tang Clan,1Sgj10byiGzPpI2IrXSFEn,291066,Protect Ya Neck,1993,0.032,https://api.spotify.com/v1/audio-analysis/1Sgj10byiGzPpI2IrXSFEn,0.817,291067,0.552,7.17e-06,8,0.826,-10.8,0,0.386,102.011,4,https://api.spotify.com/v1/tracks/1Sgj10byiGzPpI2IrXSFEn,audio_features,spotify:track:1Sgj10byiGzPpI2IrXSFEn,0.808,Boom Bap
Regulate… G Funk Era (Special Edition),Warren G,Warren G,1MUgIUkMkEzybR9HZnyVmj,176626,Super Soul Sis,1994,0.0437,https://api.spotify.com/v1/audio-analysis/1MUgIUkMkEzybR9HZnyVmj,0.807,176627,0.5,0.0,6,0.119,-9.601,1,0.314,86.898,4,https://api.spotify.com/v1/tracks/1MUgIUkMkEzybR9HZnyVmj,audio_features,spotify:track:1MUgIUkMkEzybR9HZnyVmj,0.541,G-Funk
Above The Rim,The Lady Of Rage,The Lady Of Rage,287tdUcso07UAu5jxXB2BQ,288333,Afro Puffs,2001,0.0424,https://api.spotify.com/v1/audio-analysis/287tdUcso07UAu5jxXB2BQ,0.799,288333,0.876,1.08e-06,10,0.308,-3.661,0,0.242,91.35,4,https://api.spotify.com/v1/tracks/287tdUcso07UAu5jxXB2BQ,audio_features,spotify:track:287tdUcso07UAu5jxXB2BQ,0.525,G-Funk
It Takes a Thief,Coolio,Coolio,3QlTzofanSqDWywxEzGGE2,334440,Fantastic Voyage,1994,0.0389,https://api.spotify.com/v1/audio-analysis/3QlTzofanSqDWywxEzGGE2,0.888,334440,0.584,3.25e-06,7,0.0625,-13.308,1,0.112,104.704,4,https://api.spotify.com/v1/tracks/3QlTzofanSqDWywxEzGGE2,audio_features,spotify:track:3QlTzofanSqDWywxEzGGE2,0.762,G-Funk
"West Coast Livin', Volume Three",Above The Law,Above The Law,2RTXQxmxGfG6yLBvA0hULI,232409,Black Superman,2013,0.000373,https://api.spotify.com/v1/audio-analysis/2RTXQxmxGfG6yLBvA0hULI,0.546,232409,0.796,0.0,0,0.0505,-4.697,1,0.269,175.136,4,https://api.spotify.com/v1/tracks/2RTXQxmxGfG6yLBvA0hULI,audio_features,spotify:track:2RTXQxmxGfG6yLBvA0hULI,0.25,G-Funk
Starring...Eazy E,Penthouse Players Clique,"Penthouse Players Clique, Eazy-E, DJ Quik, AMG",3wKZvMBcb14JJ3FL0YweD2,303400,"Trust No Bitch - Feat. D.J. Quik, Eazy-E & AMG",2007,0.0237,https://api.spotify.com/v1/audio-analysis/3wKZvMBcb14JJ3FL0YweD2,0.844,303400,0.858,0.0,4,0.159,-3.525,0,0.265,90.146,4,https://api.spotify.com/v1/tracks/3wKZvMBcb14JJ3FL0YweD2,audio_features,spotify:track:3wKZvMBcb14JJ3FL0YweD2,0.507,G-Funk
Who Ride Wit Us: Kurupt's Greatest Hits,Kurupt,"Kurupt, Daz Dillinger",6xuDdxxaoyzd6w4iBj5riU,261173,Who Ride Wit Us,2014,0.167,https://api.spotify.com/v1/audio-analysis/6xuDdxxaoyzd6w4iBj5riU,0.873,261173,0.824,0.0,9,0.562,-5.652,1,0.343,104.973,4,https://api.spotify.com/v1/tracks/6xuDdxxaoyzd6w4iBj5riU,audio_features,spotify:track:6xuDdxxaoyzd6w4iBj5riU,0.64,G-Funk
Conversation,Twinz,Twinz,13Mzo1l88eZPohxdl5T1qv,221066,Round & Round,1995,0.0122,https://api.spotify.com/v1/audio-analysis/13Mzo1l88eZPohxdl5T1qv,0.815,221067,0.477,8.93e-05,11,0.352,-7.941,0,0.303,95.475,4,https://api.spotify.com/v1/tracks/13Mzo1l88eZPohxdl5T1qv,audio_features,spotify:track:13Mzo1l88eZPohxdl5T1qv,0.539,G-Funk
Curb Servin',Wc And The Maad Circle,Wc And The Maad Circle,3nBeTAYJqOOp2pweHRrmhK,284266,West Up!,1995,0.261,https://api.spotify.com/v1/audio-analysis/3nBeTAYJqOOp2pweHRrmhK,0.843,284267,0.837,0.0,7,0.222,-5.37,1,0.267,89.095,4,https://api.spotify.com/v1/tracks/3nBeTAYJqOOp2pweHRrmhK,audio_features,spotify:track:3nBeTAYJqOOp2pweHRrmhK,0.774,G-Funk
